Tamil,English
"We see things differently, according to whether we are rich or poor.",நாம் பணக்காரனா அல்லது ஏழையா என்பதைப் பொறுத்து விஷயங்களை வித்தியாசமாகப் பார்க்கிறோம்.
We should help the needy.,ஏழைகளுக்கு உதவ வேண்டும்.
We want freedom from poverty.,வறுமையிலிருந்து விடுதலை வேண்டும்.
We should not despise a man because he is poor.,ஒரு மனிதனை அவன் ஏழை என்பதற்காக நாம் இகழ்ந்து விடக்கூடாது.
We should check the spread of the disease.,நோய் பரவுவதை நாம் சரிபார்க்க வேண்டும்.
We're banking on you to provide all the money we need.,எங்களுக்குத் தேவையான அனைத்துப் பணத்தையும் வழங்குவதற்கு நாங்கள் உங்களிடம் வங்கியளித்து வருகிறோம்.
We smell with our noses.,மூக்கினால் வாசனை வீசுகிறோம்.
We are lovers of the beautiful.,நாங்கள் அழகானவர்களின் காதலர்கள்.
We looked down at the beautiful sea.,அழகான கடலைப் பார்த்தோம்.
We went to New York by plane.,விமானத்தில் நியூயார்க் சென்றோம்.
We traveled to Mexico by plane.,விமானத்தில் மெக்சிகோ சென்றோம்.
We furnished the refugees with blankets.,அகதிகளுக்கு போர்வைகளை வழங்கினோம்.
We must keep down expenses.,நாம் செலவுகளைக் குறைக்க வேண்டும்.
We extended a hearty welcome to them.,அவர்களுக்கு மனமார்ந்த வரவேற்பு அளித்தோம்.
We admire her for her bravery.,அவளுடைய துணிச்சலுக்காக நாங்கள் அவளைப் பாராட்டுகிறோம்.
We hadn't so much as heard of her name.,அவள் பெயரை நாங்கள் கேள்விப்பட்டதே இல்லை.
We are anxious about her health.,அவளது உடல்நிலை குறித்து நாங்கள் கவலைப்படுகிறோம்.
We got her to attend to the patient.,நோயாளிக்கு சிகிச்சை அளிக்க நாங்கள் அவளை அழைத்துச் சென்றோம்.
We bound her to secrecy.,நாங்கள் அவளை ரகசியமாக பிணைத்தோம்.
We cannot distinguish her from her younger sister.,அவளுடைய தங்கையிலிருந்து அவளை வேறுபடுத்திப் பார்க்க முடியாது.
We can depend on her helping us.,அவளுடைய உதவியை நாம் சார்ந்து இருக்கலாம்.
We confirmed her death.,அவள் மரணத்தை உறுதி செய்தோம்.
We waited up for him until two o'clock and then finally went to bed.,"நாங்கள் அவருக்காக இரண்டு மணி வரை காத்திருந்தோம், பின்னர் படுக்கைக்குச் சென்றோம்."
We delegated him to negotiate with them.,அவர்களுடன் பேச்சுவார்த்தை நடத்த அவரை நாங்கள் பணியமர்த்தினோம்.
We invited him to the dinner party.,அவரை விருந்துக்கு அழைத்தோம்.
We appointed him as our representative.,அவரை எங்கள் பிரதிநிதியாக நியமித்தோம்.
We argued him into going.,நாங்கள் அவரை செல்லுமாறு வாதிட்டோம்.
We assume that he is honest.,அவர் நேர்மையானவர் என்று நாங்கள் கருதுகிறோம்.
We number him among our closest friends.,எங்கள் நெருங்கிய நண்பர்களில் அவரை நாங்கள் எண்ணுகிறோம்.
We must help him immediately.,நாம் அவருக்கு உடனடியாக உதவ வேண்டும்.
We look up to him as our leader.,அவரை எங்கள் தலைவராகவே பார்க்கிறோம்.
We should follow his example.,அவருடைய முன்மாதிரியை நாம் பின்பற்ற வேண்டும்.
We elected him to be mayor.,அவரை மேயராக தேர்ந்தெடுத்தோம்.
We banished him from the country.,அவரை நாட்டை விட்டு விரட்டியடித்தோம்.
It appears to me that we misunderstand him.,அவரைத் தவறாகப் புரிந்து கொண்டிருக்கிறோம் என்று எனக்குத் தோன்றுகிறது.
We have lost sight of him.,நாங்கள் அவரைப் பார்க்காமல் போய்விட்டோம்.
We tried to cheer him up by taking him out.,அவரை வெளியே அழைத்துச் சென்று உற்சாகப்படுத்த முயன்றோம்.
We elected him as our Representative.,அவரை எங்கள் பிரதிநிதியாக தேர்ந்தெடுத்தோம்.
We looked down on him as a coward.,நாங்கள் அவரை ஒரு கோழையாகப் பார்த்தோம்.
We look up to him as a good senior.,நாங்கள் அவரை ஒரு நல்ல மூத்தவராக பார்க்கிறோம்.
We must not give way to their demands.,அவர்களின் கோரிக்கைகளுக்கு நாம் இடம் கொடுக்கக் கூடாது.
We had to yield to their request.,அவர்களின் கோரிக்கைக்கு நாங்கள் அடிபணிய வேண்டும்.
"We thought their shop was a failure, but now they've gotten out from under and even expanded.","அவர்களின் கடை தோல்வியடைந்ததாக நாங்கள் நினைத்தோம், ஆனால் இப்போது அவர்கள் கீழே இருந்து வெளியேறி விரிவடைந்துவிட்டனர்."
We will give them moral support.,அவர்களுக்கு தார்மீக ஆதரவை வழங்குவோம்.
We provided them with money and clothes.,அவர்களுக்கு பணமும் உடைகளும் வழங்கினோம்.
We went to court when they refused to pay for the damage.,அவர்கள் நஷ்ட ஈடு தர மறுத்ததால் நாங்கள் நீதிமன்றத்தை நாடினோம்.
We were unable to follow his logic.,அவருடைய தர்க்கத்தை எங்களால் பின்பற்ற முடியவில்லை.
We have specific proof of your innocence.,நீங்கள் குற்றமற்றவர் என்பதற்கு எங்களிடம் குறிப்பிட்ட ஆதாரம் உள்ளது.
We cannot help respecting his courage.,அவருடைய தைரியத்தை மதிக்காமல் இருக்க முடியாது.
We can rely on his judgement.,அவருடைய தீர்ப்பை நாம் நம்பலாம்.
We applauded his honesty.,அவருடைய நேர்மையைப் பாராட்டினோம்.
We expect him to succeed.,அவர் வெற்றி பெறுவார் என எதிர்பார்க்கிறோம்.
We accepted his offer.,அவரது வாய்ப்பை நாங்கள் ஏற்றுக்கொண்டோம்.
We opposed his plan to build a new road.,புதிய சாலை அமைக்கும் அவரது திட்டத்தை நாங்கள் எதிர்த்தோம்.
We got into his car and went to the sea.,நாங்கள் அவருடைய காரில் ஏறி கடலுக்குச் சென்றோம்.
We were surprised to see his injuries.,அவரது காயங்களைப் பார்த்து நாங்கள் ஆச்சரியப்பட்டோம்.
We are under his command.,நாம் அவருடைய கட்டளையின் கீழ் இருக்கிறோம்.
We were shocked at the news of his death.,அவர் இறந்த செய்தி கேட்டு அதிர்ச்சி அடைந்தோம்.
We regret his death.,அவரது மறைவுக்கு வருந்துகிறோம்.
We compared his work with hers.,அவருடைய வேலையை அவளுடன் ஒப்பிட்டுப் பார்த்தோம்.
We appreciate his talent.,அவருடைய திறமையைப் பாராட்டுகிறோம்.
We cannot help admiring his talent.,அவருடைய திறமையைப் பாராட்டாமல் இருக்க முடியாது.
We thought much of his first novel.,அவருடைய முதல் நாவலைப் பற்றி அதிகம் யோசித்தோம்.
We were surprised at his conduct.,அவருடைய நடத்தையை கண்டு நாங்கள் ஆச்சரியப்பட்டோம்.
We were greatly surprised at the news of his sudden death.,அவரது திடீர் மரணச் செய்தியில் நாங்கள் மிகவும் வியப்படைந்தோம்.
We are sorry for his mistake.,அவருடைய தவறுக்கு வருந்துகிறோம்.
We were afraid that we might hurt his feelings.,அவருடைய மனதை புண்படுத்திவிடுவோம் என்று பயந்தோம்.
We cannot speak too highly of his great achievements.,அவருடைய மகத்தான சாதனைகளைப் பற்றி நாம் பெரிதாகப் பேச முடியாது.
We cannot but wonder at his skill in skiing.,பனிச்சறுக்கு விளையாட்டில் அவரது திறமையை நாம் ஆச்சரியப்படாமல் இருக்க முடியாது.
We were all greatly amused by his jokes.,அவருடைய நகைச்சுவையால் நாங்கள் அனைவரும் மிகவும் மகிழ்ந்தோம்.
We came to the conclusion that we should help him.,அவருக்கு உதவ வேண்டும் என்ற முடிவுக்கு வந்தோம்.
We bound him to secrecy.,நாங்கள் அவரை இரகசியமாக பிணைத்தோம்.
We should have told him the truth.,அவரிடம் உண்மையைச் சொல்லியிருக்க வேண்டும்.
We basked in his favor.,நாங்கள் அவருக்கு ஆதரவாக இருந்தோம்.
We called upon him for a speech.,அவரை ஒரு பேச்சுக்கு அழைத்தோம்.
We demanded that he explain to us why he was late.,அவர் ஏன் தாமதமாக வந்தார் என்பதை எங்களிடம் விளக்க வேண்டும் என்று கோரினோம்.
We had no choice but to leave the matter to him.,இந்த விஷயத்தை அவரிடம் விட்டுவிடுவதைத் தவிர வேறு வழியில்லை.
We expect much of him.,அவரிடம் நிறைய எதிர்பார்க்கிறோம்.
We showed him some pictures of the Alps.,ஆல்ப்ஸின் சில படங்களை அவருக்குக் காட்டினோம்.
We are expecting him any moment.,எந்த நேரத்திலும் அவரை எதிர்பார்க்கிறோம்.
"We are, in large measure, responsible for students' success in the entrance exam.",நுழைவுத் தேர்வில் மாணவர்களின் வெற்றிக்கு பெரிய அளவில் நாங்கள்தான் காரணம்.
We took his success for granted.,அவரது வெற்றியை சாதாரணமாக எடுத்துக் கொண்டோம்.
We could not but give him up for dead.,இறந்ததற்காக அவரைக் கொடுக்காமல் இருக்க முடியவில்லை.
We received word of his death.,அவர் இறந்த செய்தி எங்களுக்கு கிடைத்தது.
We expected him to support us.,அவர் எங்களுக்கு ஆதரவளிப்பார் என எதிர்பார்த்தோம்.
We expect that he'll help us.,அவர் எங்களுக்கு உதவுவார் என்று எதிர்பார்க்கிறோம்.
"We objected, but she went out anyway.","நாங்கள் எதிர்த்தோம், ஆனால் அவள் எப்படியும் வெளியே சென்றாள்."
We admit that he is a man of ability.,அவர் திறமையானவர் என்பதை ஒப்புக்கொள்கிறோம்.
We went to the museum.,அருங்காட்சியகம் சென்றோம்.
We walked along an avenue of tall poplars.,நாங்கள் ஒரு உயரமான பாப்லர்ஸ் அவென்யூ வழியாக நடந்தோம்.
We had a gallop over the hill.,நாங்கள் மலையின் மீது ஒரு பாய்ச்சல் செய்தோம்.
We never work on Sunday.,நாங்கள் ஞாயிற்றுக்கிழமை வேலை செய்வதில்லை.
We are enthusiastic Hanshin Tigers fans.,நாங்கள் உற்சாகமான ஹன்ஷின் டைகர்ஸ் ரசிகர்கள்.
We work on every day of the week except Sunday.,ஞாயிறு தவிர வாரத்தின் எல்லா நாட்களிலும் நாங்கள் வேலை செய்கிறோம்.
We tend to think that our time is our own only on Sundays and holidays.,ஞாயிறு மற்றும் விடுமுறை நாட்களில் மட்டுமே நமது நேரம் நமக்கே சொந்தம் என்று நினைக்கிறோம்.
We are subject to the Constitution of Japan.,நாங்கள் ஜப்பான் அரசியலமைப்பிற்கு உட்பட்டவர்கள்.
We must maintain the amicable relations between Japan and the U.S.,ஜப்பானுக்கும் அமெரிக்காவுக்கும் இடையே நல்லுறவை பேண வேண்டும்.
We should have taken the schedule into consideration.,நாம் அட்டவணையை கவனத்தில் எடுத்திருக்க வேண்டும்.
We must sleep at least eight hours a day.,நாம் ஒரு நாளைக்கு குறைந்தது எட்டு மணிநேரம் தூங்க வேண்டும்.
We work by the day.,நாங்கள் நாள்தோறும் வேலை செய்கிறோம்.
We have kept in constant touch for twenty years.,இருபது வருடங்களாக தொடர்ந்து தொடர்பில் இருக்கிறோம்.
We are entitled to vote at the age of twenty.,இருபது வயதில் வாக்களிக்கும் உரிமை எங்களுக்கு உள்ளது.
We weighed one opinion against the other.,நாங்கள் ஒரு கருத்தை மற்றொன்றுக்கு எதிராக எடைபோடினோம்.
We are confronted with a difficult situation.,நாங்கள் ஒரு கடினமான சூழ்நிலையை எதிர்கொள்கிறோம்.
We learn to read and write.,நாம் படிக்கவும் எழுதவும் கற்றுக்கொள்கிறோம்.
We found that we had lost our way.,நாங்கள் வழி தவறிவிட்டதைக் கண்டோம்.
We hold the same principles.,நாங்கள் அதே கொள்கைகளை வைத்திருக்கிறோம்.
We gave you credit for more sense than that.,அதை விட அதிக புத்திசாலித்தனத்திற்காக நாங்கள் உங்களுக்கு கடன் கொடுத்தோம்.
We found the stolen bag in this bush.,இந்த புதரில் திருடப்பட்ட பையை கண்டுபிடித்தோம்.
We lack an incentive for pursuing the eastern market.,கிழக்கு சந்தையைப் பின்தொடர்வதற்கான ஊக்கத்தொகை எங்களிடம் இல்லை.
We decided by vote.,வாக்கு மூலம் முடிவு செய்தோம்.
We selected the chairman by a vote.,ஓட்டு மூலம் தலைவரை தேர்வு செய்தோம்.
We took a ferry from the island to the mainland.,நாங்கள் தீவில் இருந்து பிரதான நிலப்பகுதிக்கு படகில் சென்றோம்.
We met along the way.,வழியில் சந்தித்தோம்.
We talked on the telephone.,டெலிபோனில் பேசினோம்.
We spent our holiday exploring rural France.,நாங்கள் எங்கள் விடுமுறையை பிரான்சின் கிராமப்புறங்களில் கழித்தோம்.
We must have respect for tradition.,பாரம்பரியத்தை நாம் மதிக்க வேண்டும்.
We had better utilize our natural resources.,நமது இயற்கை வளங்களை சிறப்பாகப் பயன்படுத்தினோம்.
We postponed our picnic pending a change in the weather.,வானிலையில் ஏற்படும் மாற்றம் காரணமாக நாங்கள் சுற்றுலாவை ஒத்திவைத்தோம்.
We must try to conserve our natural resources.,நமது இயற்கை வளங்களை பாதுகாக்க முயற்சி செய்ய வேண்டும்.
We prevailed over our enemy.,நாங்கள் எங்கள் எதிரியை வென்றோம்.
We were contracted to build a railway.,ரயில் பாதை அமைக்க ஒப்பந்தம் செய்யப்பட்டோம்.
We crept toward the enemy.,நாங்கள் எதிரியை நோக்கி நகர்ந்தோம்.
We took the enemy by surprise.,நாங்கள் எதிரியை ஆச்சரியத்தில் ஆழ்த்தினோம்.
We fired guns at the enemy.,எதிரியை நோக்கி துப்பாக்கியால் சுட்டோம்.
We are faced with the alternative of resistance or slavery.,எதிர்ப்பு அல்லது அடிமைத்தனத்தின் மாற்றீட்டை நாம் எதிர்கொள்கிறோம்.
We should deal with this matter without delay.,இந்த விஷயத்தை நாம் தாமதமின்றி சமாளிக்க வேண்டும்.
We must die sooner or later.,நாம் விரைவில் அல்லது பின்னர் இறக்க வேண்டும்.
We eat buttered bread for lunch.,மதிய உணவிற்கு வெண்ணெய் தடவிய ரொட்டி சாப்பிடுகிறோம்.
We felt the ground sinking.,நிலம் மூழ்குவதை உணர்ந்தோம்.
We have to respect local customs.,உள்ளூர் பழக்கவழக்கங்களை மதிக்க வேண்டும்.
We must think about the community.,சமூகத்தைப் பற்றி சிந்திக்க வேண்டும்.
We haven't known each other long.,நாங்கள் ஒருவரையொருவர் நீண்ட காலமாக அறியவில்லை.
We had to learn to read the word.,வார்த்தையைப் படிக்க நாம் கற்றுக்கொள்ள வேண்டியிருந்தது.
None of us are related to the problem.,எங்களில் யாருக்கும் பிரச்சனைக்கும் சம்பந்தமில்லை.
Every one of us is more or less interested in art.,நம் ஒவ்வொருவருக்கும் கலையில் ஆர்வம் அதிகம்.
We were taught that World War II broke out in 1939.,இரண்டாம் உலகப் போர் 1939-ல் வெடித்தது என்று எங்களுக்குக் கற்பிக்கப்பட்டது.
We sang in loud voices.,உரத்த குரலில் பாடினோம்.
We roared with laughter.,நாங்கள் சிரிப்புடன் கர்ஜித்தோம்.
We came up against massive popular resistance.,பாரிய மக்கள் எதிர்ப்பை எதிர்த்து வந்தோம்.
We used to compete furiously in college.,கல்லூரியில் ஆவேசமாகப் போட்டியிட்டோம்.
We arranged the books according to size.,புத்தகங்களை அளவுக்கேற்ப வரிசைப்படுத்தினோம்.
We arrived at a compromise.,நாங்கள் ஒரு சமரசத்திற்கு வந்தோம்.
We have no choice but to compromise.,சமரசம் செய்வதைத் தவிர எங்களுக்கு வேறு வழியில்லை.
We will explore every planet that goes around the sun.,சூரியனைச் சுற்றி வரும் ஒவ்வொரு கிரகத்தையும் ஆராய்வோம்.
We watched the sun setting behind the mountains.,மலைகளுக்குப் பின்னால் சூரியன் மறைவதைப் பார்த்தோம்.
We must make the best use of solar energy.,சூரிய சக்தியை நாம் சிறந்த முறையில் பயன்படுத்த வேண்டும்.
"We are exploring new sources, such as solar and atomic energy.",சூரிய மற்றும் அணு ஆற்றல் போன்ற புதிய ஆதாரங்களை நாங்கள் ஆராய்ந்து வருகிறோம்.
We must get over many difficulties.,பல சிரமங்களை நாம் கடக்க வேண்டும்.
We build and maintain relationships with others.,நாம் மற்றவர்களுடன் உறவுகளை உருவாக்கி பராமரிக்கிறோம்.
We've become a mockery to the whole village.,ஒட்டுமொத்த கிராமத்திற்கே கேலிக்கூத்தாகி விட்டோம்.
We are forty-three in all.,நாங்கள் மொத்தம் நாற்பத்து மூன்று பேர்.
We looked out the window but saw nothing.,நாங்கள் ஜன்னலுக்கு வெளியே பார்த்தோம் ஆனால் எதுவும் தெரியவில்லை.
We must sow the seeds of mutual understanding.,பரஸ்பர புரிதலுக்கான விதைகளை நாம் விதைக்க வேண்டும்.
We must beef up our organization.,நமது அமைப்பை வலுப்படுத்த வேண்டும்.
We agreed to start early.,முன்கூட்டியே தொடங்க ஒப்புக்கொண்டோம்.
We named my son after my grandfather.,என் மகனுக்கு என் தாத்தாவின் பெயரை வைத்தோம்.
We set to work with all our might and main.,நாங்கள் எங்கள் முழு வலிமையையும் முக்கியத்துவத்தையும் கொண்டு வேலை செய்யத் தொடங்கினோம்.
There are seven of us.,நாங்கள் ஏழு பேர் இருக்கிறோம்.
We all knelt down to pray.,நாங்கள் அனைவரும் பிரார்த்தனை செய்ய மண்டியிட்டோம்.
We shared the profit among us all.,லாபத்தை நாங்கள் அனைவருக்கும் பகிர்ந்து கொண்டோம்.
We're elected.,நாங்கள் தேர்ந்தெடுக்கப்பட்டுள்ளோம்.
We need to distinguish right from wrong.,"சரி, தவறு என்று நாம் வேறுபடுத்திப் பார்க்க வேண்டும்."
We are entering a new phase in the war.,நாம் போரில் ஒரு புதிய கட்டத்திற்குள் நுழைகிறோம்.
We are against war.,நாங்கள் போருக்கு எதிரானவர்கள்.
We had to do without oil during the war.,போரின் போது எண்ணெய் இல்லாமல் செய்ய வேண்டியிருந்தது.
We will never countenance terrorism.,பயங்கரவாதத்தை ஒருபோதும் எதிர்கொள்ள மாட்டோம்.
We were driven to the wall.,நாங்கள் சுவரில் தள்ளப்பட்டோம்.
We take oil for granted.,நாங்கள் எண்ணெயை சாதாரணமாக எடுத்துக்கொள்கிறோம்.
We sang songs in chorus.,நாங்கள் கோரஸில் பாடல்களைப் பாடினோம்.
We need to nourish our spirit.,நாம் நமது ஆன்மாவை வளர்க்க வேண்டும்.
We work for our living.,நாங்கள் வாழ்வாதாரத்திற்காக உழைக்கிறோம்.
"We eat to live, not live to eat.","நாம் வாழ்வதற்காக சாப்பிடுகிறோம், சாப்பிடுவதற்காக வாழவில்லை."
We eat so we can live.,நாம் வாழ்வதற்காக சாப்பிடுகிறோம்.
We found him alive.,அவரை உயிருடன் கண்டோம்.
We must continue to study as long as we live.,வாழும் வரை படிப்பைத் தொடர வேண்டும்.
We will get to Tokyo Station at noon.,நண்பகல் டோக்கியோ ஸ்டேஷனுக்கு வருவோம்.
We are to meet at noon.,நாங்கள் மதியம் சந்திப்போம்.
We studied the government's economic policy.,அரசின் பொருளாதாரக் கொள்கையை ஆய்வு செய்தோம்.
We argued politics.,நாங்கள் அரசியல் வாதிட்டோம்.
We should observe the speed limit.,வேக வரம்பை நாம் கவனிக்க வேண்டும்.
We are longing for world peace.,உலக அமைதிக்காக ஏங்குகிறோம்.
We are anxious for world peace.,உலக அமைதிக்காக நாங்கள் ஆர்வமாக உள்ளோம்.
We should make every effort to maintain world peace.,உலக அமைதியை நிலைநாட்ட அனைத்து முயற்சிகளையும் மேற்கொள்ள வேண்டும்.
We beamed the message to the world.,செய்தியை உலகிற்கு எடுத்துரைத்தோம்.
We debated on the question of world population.,உலக மக்கள் தொகைப் பிரச்சினை குறித்து விவாதித்தோம்.
We provided the flood victims with food and clothing.,வெள்ளத்தால் பாதிக்கப்பட்ட மக்களுக்கு உணவு மற்றும் உடைகளை வழங்கினோம்.
We found it very hard going back to our base camp in the blizzard.,பனிப்புயலில் உள்ள எங்கள் அடிப்படை முகாமுக்குத் திரும்புவது மிகவும் கடினமாக இருந்தது.
We often compare life to a journey.,நாம் அடிக்கடி வாழ்க்கையை ஒரு பயணத்துடன் ஒப்பிடுகிறோம்.
We shall continue our efforts to eradicate racial discrimination.,இனப் பாகுபாடுகளை ஒழிக்க நாம் தொடர்ந்து முயற்சி செய்வோம்.
We cannot stand quiet and watch people starve.,மக்கள் பட்டினி கிடப்பதைப் பார்த்து அமைதியாக இருக்க முடியாது.
We have just enough to live.,நாம் வாழ்ந்தால் போதும்.
We talked in sign language.,சைகை மொழியில் பேசினோம்.
We exchanged phone numbers at the end of the gathering.,கூட்டத்தின் முடிவில் தொலைபேசி எண்களை பரிமாறிக்கொண்டோம்.
We deepened our friendship.,நாங்கள் எங்கள் நட்பை ஆழப்படுத்தினோம்.
We entered into a serious conversation.,நாங்கள் ஒரு தீவிர உரையாடலில் நுழைந்தோம்.
We went due north.,நாங்கள் வடக்கு நோக்கி சென்றோம்.
We cleared a path through the woods.,நாங்கள் காடு வழியாக ஒரு பாதையை சுத்தம் செய்தோம்.
We went astray in the woods.,நாங்கள் காடுகளில் வழிதவறிச் சென்றோம்.
We are faced with new kinds of diseases.,நாம் புதிய வகையான நோய்களை எதிர்கொள்கிறோம்.
We began on a new project.,நாங்கள் ஒரு புதிய திட்டத்தை தொடங்கினோம்.
Now that we are established in our new house we shall be glad to receive visitors.,"இப்போது நாங்கள் எங்கள் புதிய வீட்டில் நிறுவப்பட்டுள்ளோம், பார்வையாளர்களைப் பெறுவதில் நாங்கள் மகிழ்ச்சியடைவோம்."
We've got to move very carefully.,நாம் மிகவும் கவனமாக செல்ல வேண்டும்.
We enjoyed ourselves to the fullest.,நாங்கள் முழுமையாக மகிழ்ந்தோம்.
We live in a three-bedroom house.,நாங்கள் மூன்று படுக்கையறைகள் கொண்ட வீட்டில் வசிக்கிறோம்.
We must pay attention to traffic signals.,போக்குவரத்து சிக்னல்களில் கவனம் செலுத்த வேண்டும்.
We went into a shop to get some food.,உணவு எடுக்க ஒரு கடைக்குள் சென்றோம்.
We must always try to serve others.,நாம் எப்போதும் மற்றவர்களுக்கு சேவை செய்ய முயற்சிக்க வேண்டும்.
We should always be careful of what we do.,நாம் செய்வதில் எப்போதும் கவனமாக இருக்க வேண்டும்.
We must always do our best.,நாம் எப்போதும் நம்மால் முடிந்ததைச் செய்ய வேண்டும்.
We must always be prepared for disasters.,பேரிடர்களுக்கு நாம் எப்போதும் தயாராக இருக்க வேண்டும்.
We must always be prepared for the worst.,மோசமானவற்றுக்கு நாம் எப்போதும் தயாராக இருக்க வேண்டும்.
We are always aiming at improving the quality of service.,நாங்கள் எப்போதும் சேவையின் தரத்தை மேம்படுத்துவதை நோக்கமாகக் கொண்டுள்ளோம்.
We heard a cry from above.,மேலிருந்து அழுகை சத்தம் கேட்டது.
We have to stand up for minority rights.,சிறுபான்மையினரின் உரிமைகளை நிலைநாட்ட வேண்டும்.
We headed for the mountain cottage.,மலைக் குடிசைக்குச் சென்றோம்.
We discussed our plan for the future.,எதிர்காலத்திற்கான எங்கள் திட்டத்தை நாங்கள் விவாதித்தோம்.
We have to look the future straight in the eye and prepare to get through the coming crisis.,"எதிர்காலத்தை நேருக்கு நேராகப் பார்த்து, வரவிருக்கும் நெருக்கடியைச் சமாளிக்க நாம் தயாராக வேண்டும்."
We must provide for the future.,எதிர்காலத்திற்கு நாம் வழங்க வேண்டும்.
We had to start our business from zero.,பூஜ்ஜியத்தில் இருந்து எங்கள் தொழிலைத் தொடங்க வேண்டும்.
We are firmly confident of victory.,வெற்றியில் உறுதியாக உள்ளோம்.
They gained a victory.,அவர்கள் வெற்றி பெற்றார்கள்.
We ought to win.,நாம் வெற்றி பெற வேண்டும்.
We said we should win.,நாங்கள் வெற்றி பெற வேண்டும் என்றார்.
We laid the injured man on the grass.,நாங்கள் காயமடைந்த மனிதனை புல் மீது கிடத்தினோம்.
We failed due to a lack of preparation.,ஆயத்தமின்மையால் தோல்வியடைந்தோம்.
You may rest assured that we shall do all we can.,எங்களால் முடிந்த அனைத்தையும் செய்வோம் என்று நீங்கள் உறுதியாக இருக்கலாம்.
We should strike a balance between our expenditure and income.,நமது செலவுக்கும் வருமானத்திற்கும் இடையில் சமநிலையை ஏற்படுத்த வேண்டும்.
There is nothing for it but to put off our departure.,அதற்கு நாம் புறப்படுவதைத் தவிர வேறு எதுவும் இல்லை.
In the fall we harvest our summer crops.,இலையுதிர் காலத்தில் நாம் கோடை பயிர்களை அறுவடை செய்கிறோம்.
We negotiated with the President about our working hours.,எங்களது வேலை நேரம் குறித்து ஜனாதிபதியுடன் பேச்சுவார்த்தை நடத்தினோம்.
We looked about us.,எங்களைப் பற்றிப் பார்த்தோம்.
We're eating up a lot of time writing letters by hand.,கையால் கடிதம் எழுதிக் கொண்டு நிறைய நேரம் சாப்பிடுகிறோம்.
We can dispose of the car.,காரை அப்புறப்படுத்தலாம்.
We agreed to refrain from smoking while we are at work.,நாங்கள் வேலையில் இருக்கும்போது புகைபிடிப்பதைத் தவிர்க்க ஒப்புக்கொண்டோம்.
We must work hard to break down social barriers.,சமூகத் தடைகளைத் தகர்க்க நாம் கடுமையாக உழைக்க வேண்டும்.
We have to put right what we have done wrong.,நாம் செய்த தவறை சரி செய்ய வேண்டும்.
We stand for liberty.,நாங்கள் சுதந்திரத்திற்காக நிற்கிறோம்.
It is important that we should do our duty.,நமது கடமையை நாம் செய்ய வேண்டியது முக்கியம்.
We are to preserve nature.,இயற்கையை நாம் பாதுகாக்க வேண்டும்.
We cannot subdue nature.,இயற்கையை நம்மால் அடக்க முடியாது.
We have to transmit our culture to the next generation.,நமது கலாச்சாரத்தை அடுத்த தலைமுறைக்கு கடத்த வேண்டும்.
We've decided to start next Sunday.,வரும் ஞாயிற்றுக்கிழமை தொடங்க முடிவு செய்துள்ளோம்.
We should read the newspaper so as not to lag behind the times.,காலம் தாழ்த்தாமல் இருக்க செய்தித்தாளைப் படிக்க வேண்டும்.
We must keep up with the times.,நாம் காலத்தோடு ஒத்துப்போக வேண்டும்.
We should sometimes expose our bodies to the sun.,சில சமயங்களில் நம் உடலை சூரிய ஒளியில் வெளிப்படுத்த வேண்டும்.
We are apt to waste time.,நாம் நேரத்தை வீணாக்குவதற்கு ஏற்றவர்கள்.
We value punctuality.,நாங்கள் நேரத்தை மதிக்கிறோம்.
We regard the situation as serious.,நாங்கள் நிலைமையை தீவிரமானதாக கருதுகிறோம்.
We have to make a close analysis of the accident.,விபத்து பற்றி நாம் கூர்ந்து ஆராய வேண்டும்.
We must make a close analysis of the causes of the accident.,விபத்துக்கான காரணங்களை நாம் நெருக்கமாக பகுப்பாய்வு செய்ய வேண்டும்.
We have to get at the truth of the matter.,விஷயத்தின் உண்மையை நாம் தெரிந்து கொள்ள வேண்டும்.
We have limited resources.,எங்களிடம் குறைந்த வளங்கள் உள்ளன.
We abandoned the project because of a lack of funds.,நிதி பற்றாக்குறையால் திட்டத்தை கைவிட்டோம்.
We've run short of money.,எங்களிடம் பணப் பற்றாக்குறை ஏற்பட்டது.
We enjoyed watching the game.,நாங்கள் விளையாட்டைப் பார்த்து மகிழ்ந்தோம்.
We must abide by the rules of the game.,விளையாட்டின் விதிகளை நாம் கடைபிடிக்க வேண்டும்.
We should do away with the death penalty.,மரண தண்டனையை ஒழிக்க வேண்டும்.
We explored all possible ways of cutting expenditures.,செலவினங்களைக் குறைப்பதற்கான சாத்தியமான அனைத்து வழிகளையும் நாங்கள் ஆராய்ந்தோம்.
We usually met at a certain place in the city.,நாங்கள் வழக்கமாக நகரத்தில் ஒரு குறிப்பிட்ட இடத்தில் சந்திப்போம்.
We left early so that we can catch the first train.,முதல் ரயிலைப் பிடிக்கலாம் என்று சீக்கிரம் கிளம்பினோம்.
We returned to Honolulu on April 2.,நாங்கள் ஏப்ரல் 2 அன்று ஹொனலுலுவுக்குத் திரும்பினோம்.
We were forced to work hard.,கடுமையாக உழைக்க வேண்டிய கட்டாயம் ஏற்பட்டது.
We yawn when we are short of oxygen.,ஆக்ஸிஜன் பற்றாக்குறை ஏற்படும் போது கொட்டாவி விடுகிறோம்.
